Scenario,Network,Model,Channel,Channel Name,Precision,Recall,F1 Score,Accuracy
AD Male vs Female,Corr,Random Forest,1,Fp2,1.0,1.0,1.0,1.0
AD Male vs Female,Corr,XGBoost,1,Fp2,1.0,1.0,1.0,1.0
AD Male vs Female,MI,Random Forest,1,Fp2,1.0,1.0,1.0,1.0
AD Male vs Female,MI,XGBoost,1,Fp2,1.0,1.0,1.0,1.0
AD Male vs Female,PLV,Random Forest,0,Fp1,1.0,1.0,1.0,1.0
AD Male vs Female,PLV,XGBoost,1,Fp2,1.0,1.0,1.0,1.0
AD vs FTD,Corr,Random Forest,16,Fz,0.7305194805194805,0.7272727272727273,0.7226107226107227,0.7272727272727273
AD vs FTD,Corr,XGBoost,1,Fp2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
AD vs FTD,MI,Random Forest,0,Fp1,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.7272727272727273
AD vs FTD,MI,XGBoost,1,Fp2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
AD vs FTD,PLV,Random Forest,3,F4,0.8181818181818182,0.7272727272727273,0.6961038961038961,0.7272727272727273
AD vs FTD,PLV,XGBoost,6,P3,0.8181818181818182,0.7272727272727273,0.6961038961038961,0.7272727272727273
FTD Male vs Female,Corr,Random Forest,18,Pz,1.0,1.0,1.0,1.0
FTD Male vs Female,Corr,XGBoost,13,T4,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
FTD Male vs Female,MI,Random Forest,18,Pz,1.0,1.0,1.0,1.0
FTD Male vs Female,MI,XGBoost,13,T4,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
FTD Male vs Female,PLV,Random Forest,6,P3,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
FTD Male vs Female,PLV,XGBoost,3,F4,0.8888888888888888,0.8333333333333334,0.8380952380952381,0.8333333333333334
Healthy vs AD,Corr,Random Forest,9,O2,0.8249999999999998,0.75,0.7184873949579832,0.75
Healthy vs AD,Corr,XGBoost,7,P4,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
Healthy vs AD,MI,Random Forest,9,O2,0.8249999999999998,0.75,0.7184873949579832,0.75
Healthy vs AD,MI,XGBoost,4,C3,0.5972222222222222,0.5833333333333334,0.5862470862470862,0.5833333333333334
Healthy vs AD,PLV,Random Forest,5,C4,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
Healthy vs AD,PLV,XGBoost,12,T3,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
Healthy vs FTD,Corr,Random Forest,17,Cz,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Healthy vs FTD,Corr,XGBoost,17,Cz,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Healthy vs FTD,MI,Random Forest,17,Cz,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Healthy vs FTD,MI,XGBoost,11,F8,0.8384615384615384,0.7692307692307693,0.7511312217194571,0.7692307692307693
Healthy vs FTD,PLV,Random Forest,18,Pz,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Healthy vs FTD,PLV,XGBoost,3,F4,0.7730769230769231,0.7692307692307693,0.7664335664335665,0.7692307692307693
Healthy vs Patient,Corr,Random Forest,8,O1,0.8690476190476191,0.8333333333333334,0.8206060606060606,0.8333333333333334
Healthy vs Patient,Corr,XGBoost,13,T4,0.8333333333333335,0.8333333333333334,0.830546265328874,0.8333333333333334
Healthy vs Patient,MI,Random Forest,10,F7,0.7811965811965812,0.7777777777777778,0.7685185185185186,0.7777777777777778
Healthy vs Patient,MI,XGBoost,13,T4,0.8333333333333335,0.8333333333333334,0.830546265328874,0.8333333333333334
Healthy vs Patient,PLV,Random Forest,10,F7,0.7281746031746033,0.7222222222222222,0.7010101010101011,0.7222222222222222
Healthy vs Patient,PLV,XGBoost,0,Fp1,0.7175925925925926,0.7222222222222222,0.7175771088814568,0.7222222222222222
