Task,Channel,Channel Name,Random Forest Accuracy,XGBoost Accuracy
AD Male vs Female,1,Fp2,1.0,1.0
AD Male vs Female,2,F3,1.0,0.6
AD Male vs Female,17,Cz,1.0,1.0
AD Male vs Female,0,Fp1,0.8,0.8
AD Male vs Female,3,F4,0.8,0.8
AD Male vs Female,6,P3,0.8,0.4
AD Male vs Female,9,O2,0.8,0.8
AD Male vs Female,10,F7,0.8,0.8
AD Male vs Female,12,T3,0.8,0.6
AD Male vs Female,13,T4,0.8,0.8
AD Male vs Female,18,Pz,0.8,0.4
AD Male vs Female,4,C3,0.6,0.6
AD Male vs Female,5,C4,0.6,0.6
AD Male vs Female,7,P4,0.6,0.6
AD Male vs Female,8,O1,0.6,0.6
AD Male vs Female,11,F8,0.6,0.4
AD Male vs Female,14,T5,0.6,0.6
AD Male vs Female,15,T6,0.6,0.6
AD Male vs Female,16,Fz,0.4,0.6
AD vs FTD,16,Fz,0.7272727272727273,0.7272727272727273
AD vs FTD,0,Fp1,0.6363636363636364,0.5454545454545454
AD vs FTD,1,Fp2,0.6363636363636364,0.8181818181818182
AD vs FTD,4,C3,0.6363636363636364,0.5454545454545454
AD vs FTD,6,P3,0.6363636363636364,0.6363636363636364
AD vs FTD,11,F8,0.6363636363636364,0.6363636363636364
AD vs FTD,3,F4,0.5454545454545454,0.5454545454545454
AD vs FTD,10,F7,0.5454545454545454,0.36363636363636365
AD vs FTD,15,T6,0.5454545454545454,0.36363636363636365
AD vs FTD,17,Cz,0.5454545454545454,0.45454545454545453
AD vs FTD,18,Pz,0.5454545454545454,0.8181818181818182
AD vs FTD,7,P4,0.45454545454545453,0.36363636363636365
AD vs FTD,12,T3,0.45454545454545453,0.6363636363636364
AD vs FTD,13,T4,0.45454545454545453,0.45454545454545453
AD vs FTD,2,F3,0.36363636363636365,0.2727272727272727
AD vs FTD,5,C4,0.36363636363636365,0.45454545454545453
AD vs FTD,8,O1,0.36363636363636365,0.36363636363636365
AD vs FTD,9,O2,0.36363636363636365,0.36363636363636365
AD vs FTD,14,T5,0.2727272727272727,0.45454545454545453
FTD Male vs Female,18,Pz,1.0,0.6666666666666666
FTD Male vs Female,8,O1,0.8333333333333334,0.3333333333333333
FTD Male vs Female,13,T4,0.8333333333333334,0.8333333333333334
