Scenario,Network,Model,Channel,Channel Name,Precision,Recall,F1 Score,Accuracy
Healthy vs Patient,MI,Random Forest,0,Fp1,0.6564102564102564,0.6666666666666666,0.6527777777777778,0.6666666666666666
Healthy vs Patient,MI,XGBoost,0,Fp1,0.7811965811965812,0.7777777777777778,0.7685185185185186,0.7777777777777778
Healthy vs Patient,MI,Random Forest,1,Fp2,0.5316239316239317,0.5555555555555556,0.537037037037037,0.5555555555555556
Healthy vs Patient,MI,XGBoost,1,Fp2,0.8090277777777778,0.7222222222222222,0.6707818930041152,0.7222222222222222
Healthy vs Patient,MI,Random Forest,2,F3,0.6018518518518517,0.6111111111111112,0.6046079524340394,0.6111111111111112
Healthy vs Patient,MI,XGBoost,2,F3,0.6564102564102564,0.6666666666666666,0.6527777777777778,0.6666666666666666
Healthy vs Patient,MI,Random Forest,3,F4,0.4962962962962963,0.5555555555555556,0.5008547008547009,0.5555555555555556
Healthy vs Patient,MI,XGBoost,3,F4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Healthy vs Patient,MI,Random Forest,4,C3,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,MI,XGBoost,4,C3,0.5873015873015874,0.6111111111111112,0.5814141414141414,0.6111111111111112
Healthy vs Patient,MI,Random Forest,5,C4,0.46913580246913583,0.4444444444444444,0.4513888888888889,0.4444444444444444
Healthy vs Patient,MI,XGBoost,5,C4,0.5125,0.5,0.5047619047619047,0.5
Healthy vs Patient,MI,Random Forest,6,P3,0.4962962962962963,0.5555555555555556,0.5008547008547009,0.5555555555555556
Healthy vs Patient,MI,XGBoost,6,P3,0.5873015873015874,0.6111111111111112,0.5814141414141414,0.6111111111111112
Healthy vs Patient,MI,Random Forest,7,P4,0.4861111111111111,0.5,0.49163879598662213,0.5
Healthy vs Patient,MI,XGBoost,7,P4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,MI,Random Forest,8,O1,0.7175925925925926,0.7222222222222222,0.7175771088814568,0.7222222222222222
Healthy vs Patient,MI,XGBoost,8,O1,0.5802469135802468,0.5555555555555556,0.5611111111111111,0.5555555555555556
Healthy vs Patient,MI,Random Forest,9,O2,0.6222222222222222,0.6111111111111112,0.6148148148148148,0.6111111111111112
Healthy vs Patient,MI,XGBoost,9,O2,0.7319444444444445,0.7222222222222222,0.7248677248677248,0.7222222222222222
Healthy vs Patient,MI,Random Forest,10,F7,0.7811965811965812,0.7777777777777778,0.7685185185185186,0.7777777777777778
Healthy vs Patient,MI,XGBoost,10,F7,0.6018518518518517,0.6111111111111112,0.6046079524340394,0.6111111111111112
Healthy vs Patient,MI,Random Forest,11,F8,0.5873015873015874,0.6111111111111112,0.5814141414141414,0.6111111111111112
Healthy vs Patient,MI,XGBoost,11,F8,0.5316239316239317,0.5555555555555556,0.537037037037037,0.5555555555555556
Healthy vs Patient,MI,Random Forest,12,T3,0.7281746031746033,0.7222222222222222,0.7010101010101011,0.7222222222222222
Healthy vs Patient,MI,XGBoost,12,T3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Healthy vs Patient,MI,Random Forest,13,T4,0.7281746031746033,0.7222222222222222,0.7010101010101011,0.7222222222222222
Healthy vs Patient,MI,XGBoost,13,T4,0.8333333333333335,0.8333333333333334,0.830546265328874,0.8333333333333334
Healthy vs Patient,MI,Random Forest,14,T5,0.4861111111111111,0.5,0.49163879598662213,0.5
Healthy vs Patient,MI,XGBoost,14,T5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
Healthy vs Patient,MI,Random Forest,15,T6,0.7281746031746033,0.7222222222222222,0.7010101010101011,0.7222222222222222
Healthy vs Patient,MI,XGBoost,15,T6,0.7811965811965812,0.7777777777777778,0.7685185185185186,0.7777777777777778
Healthy vs Patient,MI,Random Forest,16,Fz,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,MI,XGBoost,16,Fz,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,MI,Random Forest,17,Cz,0.7175925925925926,0.7222222222222222,0.7175771088814568,0.7222222222222222
Healthy vs Patient,MI,XGBoost,17,Cz,0.691358024691358,0.6666666666666666,0.6708333333333333,0.6666666666666666
Healthy vs Patient,MI,Random Forest,18,Pz,0.6018518518518517,0.6111111111111112,0.6046079524340394,0.6111111111111112
Healthy vs Patient,MI,XGBoost,18,Pz,0.6564102564102564,0.6666666666666666,0.6527777777777778,0.6666666666666666
Healthy vs AD,MI,Random Forest,0,Fp1,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,0,Fp1,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,Random Forest,1,Fp2,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,1,Fp2,0.5,0.5,0.5,0.5
Healthy vs AD,MI,Random Forest,2,F3,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,2,F3,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.4166666666666667
Healthy vs AD,MI,Random Forest,3,F4,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,3,F4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Healthy vs AD,MI,Random Forest,4,C3,0.5,0.5,0.5,0.5
Healthy vs AD,MI,XGBoost,4,C3,0.5972222222222222,0.5833333333333334,0.5862470862470862,0.5833333333333334
Healthy vs AD,MI,Random Forest,5,C4,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.3333333333333333
Healthy vs AD,MI,XGBoost,5,C4,0.5,0.5,0.5,0.5
Healthy vs AD,MI,Random Forest,6,P3,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
Healthy vs AD,MI,XGBoost,6,P3,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,Random Forest,7,P4,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,7,P4,0.3181818181818182,0.5,0.38888888888888884,0.5
Healthy vs AD,MI,Random Forest,8,O1,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
Healthy vs AD,MI,XGBoost,8,O1,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.3333333333333333
Healthy vs AD,MI,Random Forest,9,O2,0.8249999999999998,0.75,0.7184873949579832,0.75
Healthy vs AD,MI,XGBoost,9,O2,0.2916666666666667,0.4166666666666667,0.34313725490196084,0.4166666666666667
Healthy vs AD,MI,Random Forest,10,F7,0.0,0.0,0.0,0.0
Healthy vs AD,MI,XGBoost,10,F7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Healthy vs AD,MI,Random Forest,11,F8,0.5285714285714286,0.5,0.5,0.5
Healthy vs AD,MI,XGBoost,11,F8,0.5,0.5,0.5,0.5
Healthy vs AD,MI,Random Forest,12,T3,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,12,T3,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,Random Forest,13,T4,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.3333333333333333
Healthy vs AD,MI,XGBoost,13,T4,0.25925925925925924,0.3333333333333333,0.2916666666666667,0.3333333333333333
Healthy vs AD,MI,Random Forest,14,T5,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,XGBoost,14,T5,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,Random Forest,15,T6,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
Healthy vs AD,MI,XGBoost,15,T6,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,Random Forest,16,Fz,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.4166666666666667
Healthy vs AD,MI,XGBoost,16,Fz,0.46296296296296297,0.5,0.46875,0.5
Healthy vs AD,MI,Random Forest,17,Cz,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
Healthy vs AD,MI,XGBoost,17,Cz,0.2916666666666667,0.4166666666666667,0.34313725490196084,0.4166666666666667
Healthy vs AD,MI,Random Forest,18,Pz,0.26388888888888884,0.25,0.25524475524475526,0.25
Healthy vs AD,MI,XGBoost,18,Pz,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
Healthy vs FTD,MI,Random Forest,0,Fp1,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs FTD,MI,XGBoost,0,Fp1,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs FTD,MI,Random Forest,1,Fp2,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
Healthy vs FTD,MI,XGBoost,1,Fp2,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
Healthy vs FTD,MI,Random Forest,2,F3,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs FTD,MI,XGBoost,2,F3,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs FTD,MI,Random Forest,3,F4,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs FTD,MI,XGBoost,3,F4,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
Healthy vs FTD,MI,Random Forest,4,C3,0.7730769230769231,0.7692307692307693,0.7664335664335665,0.7692307692307693
Healthy vs FTD,MI,XGBoost,4,C3,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
Healthy vs FTD,MI,Random Forest,5,C4,0.804195804195804,0.6923076923076923,0.6495726495726496,0.6923076923076923
Healthy vs FTD,MI,XGBoost,5,C4,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs FTD,MI,Random Forest,6,P3,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs FTD,MI,XGBoost,6,P3,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs FTD,MI,Random Forest,7,P4,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs FTD,MI,XGBoost,7,P4,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs FTD,MI,Random Forest,8,O1,0.804195804195804,0.6923076923076923,0.6495726495726496,0.6923076923076923
Healthy vs FTD,MI,XGBoost,8,O1,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs FTD,MI,Random Forest,9,O2,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs FTD,MI,XGBoost,9,O2,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
Healthy vs FTD,MI,Random Forest,10,F7,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs FTD,MI,XGBoost,10,F7,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs FTD,MI,Random Forest,11,F8,0.7730769230769231,0.7692307692307693,0.7664335664335665,0.7692307692307693
Healthy vs FTD,MI,XGBoost,11,F8,0.8384615384615384,0.7692307692307693,0.7511312217194571,0.7692307692307693
Healthy vs FTD,MI,Random Forest,12,T3,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs FTD,MI,XGBoost,12,T3,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs FTD,MI,Random Forest,13,T4,0.7192307692307693,0.6923076923076923,0.6886446886446886,0.6923076923076923
Healthy vs FTD,MI,XGBoost,13,T4,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs FTD,MI,Random Forest,14,T5,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs FTD,MI,XGBoost,14,T5,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs FTD,MI,Random Forest,15,T6,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs FTD,MI,XGBoost,15,T6,0.6227106227106227,0.6153846153846154,0.6153846153846154,0.6153846153846154
Healthy vs FTD,MI,Random Forest,16,Fz,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs FTD,MI,XGBoost,16,Fz,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
Healthy vs FTD,MI,Random Forest,17,Cz,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Healthy vs FTD,MI,XGBoost,17,Cz,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923
Healthy vs FTD,MI,Random Forest,18,Pz,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461
Healthy vs FTD,MI,XGBoost,18,Pz,0.7192307692307693,0.6923076923076923,0.6886446886446886,0.6923076923076923
AD vs FTD,MI,Random Forest,0,Fp1,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.7272727272727273
AD vs FTD,MI,XGBoost,0,Fp1,0.8295454545454546,0.7272727272727273,0.7132867132867133,0.7272727272727273
AD vs FTD,MI,Random Forest,1,Fp2,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
AD vs FTD,MI,XGBoost,1,Fp2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
AD vs FTD,MI,Random Forest,2,F3,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
AD vs FTD,MI,XGBoost,2,F3,0.3696969696969697,0.36363636363636365,0.36363636363636365,0.36363636363636365
AD vs FTD,MI,Random Forest,3,F4,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
AD vs FTD,MI,XGBoost,3,F4,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
AD vs FTD,MI,Random Forest,4,C3,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
AD vs FTD,MI,XGBoost,4,C3,0.5545454545454546,0.5454545454545454,0.5454545454545454,0.5454545454545454
AD vs FTD,MI,Random Forest,5,C4,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
AD vs FTD,MI,XGBoost,5,C4,0.2424242424242424,0.36363636363636365,0.29090909090909095,0.36363636363636365
AD vs FTD,MI,Random Forest,6,P3,0.6439393939393939,0.6363636363636364,0.6168831168831169,0.6363636363636364
AD vs FTD,MI,XGBoost,6,P3,0.6439393939393939,0.6363636363636364,0.6168831168831169,0.6363636363636364
AD vs FTD,MI,Random Forest,7,P4,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
AD vs FTD,MI,XGBoost,7,P4,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
AD vs FTD,MI,Random Forest,8,O1,0.3696969696969697,0.36363636363636365,0.36363636363636365,0.36363636363636365
