Scenario,Feature Combo,Model,Channel,Precision,Recall,F1 Score,Accuracy
Healthy vs Patient,Temporal,Random Forest,0,0.4833333333333333,0.4444444444444444,0.4588744588744588,0.4444444444444444
Healthy vs Patient,Temporal,XGBoost,0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,Temporal,Random Forest,1,0.476923076923077,0.5,0.4872727272727272,0.5
Healthy vs Patient,Temporal,XGBoost,1,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,Temporal,Random Forest,2,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Temporal,XGBoost,2,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Temporal,Random Forest,3,0.5948717948717949,0.6111111111111112,0.6012121212121212,0.6111111111111112
Healthy vs Patient,Temporal,XGBoost,3,0.4833333333333333,0.4444444444444444,0.4588744588744588,0.4444444444444444
Healthy vs Patient,Temporal,Random Forest,4,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Temporal,XGBoost,4,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,Temporal,Random Forest,5,0.711111111111111,0.7222222222222222,0.691358024691358,0.7222222222222222
Healthy vs Patient,Temporal,XGBoost,5,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Temporal,Random Forest,6,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
Healthy vs Patient,Temporal,XGBoost,6,0.5194805194805194,0.5,0.508361204013378,0.5
Healthy vs Patient,Temporal,Random Forest,7,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5555555555555556
Healthy vs Patient,Temporal,XGBoost,7,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Temporal,Random Forest,8,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Temporal,XGBoost,8,0.5194805194805194,0.5,0.508361204013378,0.5
Healthy vs Patient,Temporal,Random Forest,9,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5555555555555556
Healthy vs Patient,Temporal,XGBoost,9,0.476923076923077,0.5,0.4872727272727272,0.5
Healthy vs Patient,Temporal,Random Forest,10,0.5948717948717949,0.6111111111111112,0.6012121212121212,0.6111111111111112
Healthy vs Patient,Temporal,XGBoost,10,0.5916666666666666,0.5555555555555556,0.5670995670995671,0.5555555555555556
Healthy vs Patient,Temporal,Random Forest,11,0.7128205128205128,0.7222222222222222,0.7151515151515153,0.7222222222222222
Healthy vs Patient,Temporal,XGBoost,11,0.735930735930736,0.7222222222222222,0.7268673355629878,0.7222222222222222
Healthy vs Patient,Temporal,Random Forest,12,0.5555555555555556,0.6111111111111112,0.5679012345679013,0.6111111111111112
Healthy vs Patient,Temporal,XGBoost,12,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
Healthy vs Patient,Temporal,Random Forest,13,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Temporal,XGBoost,13,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,Temporal,Random Forest,14,0.43137254901960786,0.6111111111111112,0.5057471264367815,0.6111111111111112
Healthy vs Patient,Temporal,XGBoost,14,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
Healthy vs Patient,Temporal,Random Forest,15,0.5948717948717949,0.6111111111111112,0.6012121212121212,0.6111111111111112
Healthy vs Patient,Temporal,XGBoost,15,0.735930735930736,0.7222222222222222,0.7268673355629878,0.7222222222222222
Healthy vs Patient,Temporal,Random Forest,16,0.8666666666666667,0.8333333333333334,0.8148148148148148,0.8333333333333334
Healthy vs Patient,Temporal,XGBoost,16,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Temporal,Random Forest,17,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Temporal,XGBoost,17,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Temporal,Random Forest,18,0.476923076923077,0.5,0.4872727272727272,0.5
Healthy vs Patient,Temporal,XGBoost,18,0.4833333333333333,0.4444444444444444,0.4588744588744588,0.4444444444444444
Healthy vs AD,Temporal,Random Forest,0,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Temporal,XGBoost,0,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Temporal,Random Forest,1,0.35470085470085466,0.38461538461538464,0.36153846153846153,0.38461538461538464
Healthy vs AD,Temporal,XGBoost,1,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
Healthy vs AD,Temporal,Random Forest,2,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs AD,Temporal,XGBoost,2,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
