Subject,Channel,Delta,Theta,Alpha,Beta,Gamma
sub-001,Fp1,3.6596148342845066e-10,5.3915883341462556e-11,1.1679201733502902e-11,1.5672931247991857e-11,7.637401389310778e-12
sub-001,Fp2,4.456381495857207e-10,5.538836342248327e-11,1.2590717336540153e-11,1.7528626803630107e-11,9.336563683889773e-12
sub-001,F3,2.542350646776328e-10,3.324192589801658e-11,9.05201409374194e-12,1.1300434949853256e-11,4.161431612206341e-12
sub-001,F4,2.4800231322132924e-10,3.109524208670433e-11,8.87196543773829e-12,1.1183598104365202e-11,4.299522404554407e-12
sub-001,C3,2.401555286073024e-10,2.6416832211387167e-11,7.553886372124401e-12,8.94230663879539e-12,2.2006450914895174e-12
sub-001,C4,2.410306996472309e-10,2.6562944574356144e-11,7.612257462758987e-12,9.001075579811452e-12,2.2192678464927127e-12
sub-001,P3,2.4402637638503217e-10,2.827825101177708e-11,7.801501672125171e-12,8.81984724283944e-12,2.1509305383315608e-12
sub-001,P4,2.488840876764439e-10,2.969945663594726e-11,8.282631242849678e-12,9.147440522497446e-12,2.155332566257769e-12
sub-001,O1,2.5376483871091e-10,3.257759477482706e-11,9.346849102176831e-12,1.1556963273978244e-11,4.297564779414578e-12
sub-001,O2,2.5679473212055823e-10,3.291907856789975e-11,9.381218179681232e-12,1.0739332113320051e-11,3.1070154852719483e-12
sub-001,F7,2.795126583132072e-10,3.9094007538629503e-11,9.883358138877192e-12,1.290050226525634e-11,5.292528286113117e-12
sub-001,F8,2.7881555640972615e-10,3.8815074814244957e-11,1.0418957618776278e-11,1.283999410606068e-11,4.962525180414909e-12
sub-001,T3,2.4693127035412343e-10,3.023195536770627e-11,8.49501391942235e-12,1.078303646883949e-11,3.749744348825055e-12
sub-001,T4,2.47820366555911e-10,3.0427690748612564e-11,8.61300635942879e-12,1.1655969888561588e-11,5.3923020266916776e-12
sub-001,T5,2.5201203092222903e-10,3.240520119008711e-11,9.95208671611703e-12,1.3556209184401489e-11,6.292564548835283e-12
sub-001,T6,2.5227397852861195e-10,3.116321892045779e-11,9.146375261598265e-12,1.0547513481838897e-11,2.9854838026541577e-12
sub-001,Fz,2.4995577684718543e-10,3.177607461641294e-11,8.680956703847321e-12,9.872136642953673e-12,2.6365047552357607e-12
sub-001,Cz,2.4219948327497013e-10,2.7217338930857778e-11,7.5789153412241e-12,9.218390782019604e-12,2.420498277931883e-12
sub-001,Pz,2.4937059728784514e-10,3.052508357613435e-11,8.040965566206409e-12,8.704148221868607e-12,2.016799489986742e-12
sub-002,Fp1,3.163263955812094e-10,4.3036351262512515e-11,1.853368100629002e-11,1.601136977676105e-11,5.187891471487134e-12
sub-002,Fp2,2.698503750879097e-10,4.281803848770477e-11,1.9539749788628996e-11,1.8299352429717693e-11,6.9162790112751175e-12
sub-002,F3,2.3277951265933178e-10,3.2509185344686104e-11,1.3300553400896933e-11,1.368463697149788e-11,4.0641282729961156e-12
sub-002,F4,2.2977212233137364e-10,3.57516965496947e-11,1.5610411945172815e-11,1.556190568350429e-11,6.153874821226953e-12
sub-002,C3,2.255647625405881e-10,2.5975216238006143e-11,9.029290237581254e-12,9.519248887717606e-12,2.3222159287583224e-12
sub-002,C4,2.2457188533647094e-10,2.5857918066034376e-11,8.806512066990637e-12,9.527266108369388e-12,2.3249033327848627e-12
sub-002,P3,2.3009175912768778e-10,4.305213334317434e-11,1.9654389433049612e-11,1.1890748521116512e-11,2.3449127691217e-12
sub-002,P4,2.2932798898313469e-10,4.0630775991050295e-11,1.7452428814821046e-11,1.1357214522609502e-11,2.352942625140173e-12
sub-002,O1,2.3350343145994276e-10,6.182038465797495e-11,3.082877845005e-11,1.346269858639749e-11,2.721376168739498e-12
sub-002,O2,2.321605437112293e-10,5.763232538452951e-11,2.7626808212811957e-11,1.2849205763844911e-11,2.710684811347575e-12
sub-002,F7,2.380191762288946e-10,4.259426053866818e-11,1.8543063250880082e-11,1.6962862577271342e-11,6.8744152949908735e-12
sub-002,F8,2.3144518101350583e-10,3.81445294834811e-11,1.56990803943672e-11,1.4986893940258798e-11,6.3253683840654665e-12
sub-002,T3,2.359608049979723e-10,4.1213401101159844e-11,1.9201847233829948e-11,1.5894960311931906e-11,6.398918028797434e-12
sub-002,T4,2.3185023545022008e-10,3.3886351401788745e-11,1.3594544331019025e-11,1.4848757897418343e-11,7.197700619402939e-12
sub-002,T5,2.3474991932220174e-10,5.830338173625712e-11,2.882301029385951e-11,1.4517555703294809e-11,2.961385106640304e-12
sub-002,T6,2.3441237074706184e-10,5.859432903714475e-11,2.7440983314496796e-11,1.3675883827223186e-11,3.03343244446303e-12
sub-002,Fz,2.3178577486795166e-10,3.4983596133105077e-11,1.6242603959536225e-11,1.2530401609013611e-11,2.522046373397624e-12
sub-002,Cz,2.274609105388458e-10,2.7688966597869934e-11,1.1081254213244159e-11,1.0749518488227658e-11,2.18116765474425e-12
sub-002,Pz,2.2907173549469815e-10,4.297220504256056e-11,1.8444414648973124e-11,1.1882570772785625e-11,2.3712263266024553e-12
sub-003,Fp1,2.1226254907594918e-10,5.701036722262403e-11,2.4994451602110377e-11,1.0927951265284344e-11,2.537972250630506e-12
sub-003,Fp2,2.145043934302132e-10,5.671080819483744e-11,2.3919064724955864e-11,1.0851096206158487e-11,2.4149169201178772e-12
sub-003,F3,2.033104414048172e-10,4.292322542317609e-11,1.8703001321946134e-11,1.0535892715957877e-11,2.6468731082551965e-12
sub-003,F4,2.0345602481446022e-10,4.181354633621347e-11,1.599003947570921e-11,1.012992623195133e-11,2.178258423710541e-12
sub-003,C3,1.9215970015853265e-10,3.130899562981329e-11,1.3848218004716983e-11,9.243831413147002e-12,1.7520802149976715e-12
sub-003,C4,1.941080948295525e-10,3.1808902701987154e-11,1.4394910488253122e-11,9.16922705984593e-12,1.7609069054298004e-12
sub-003,P3,2.0225773122007745e-10,4.842397626555972e-11,2.234333383219924e-11,1.0961381831602285e-11,1.9891537007773312e-12
sub-003,P4,2.0001945050488484e-10,5.5032303931093575e-11,3.3269385633575855e-11,1.095954499394166e-11,1.902115486114583e-12
sub-003,O1,2.1784268002703486e-10,6.986501996540028e-11,3.30873275117886e-11,1.1713759193250118e-11,2.063143174925438e-12
sub-003,O2,2.1851855084741972e-10,7.035058440369734e-11,3.954103874587765e-11,1.2450757543348263e-11,2.148729644245087e-12
sub-003,F7,2.1271988079345113e-10,5.523666541596133e-11,2.4729979338059904e-11,1.1175975516752838e-11,2.5764179085873214e-12
sub-003,F8,2.1199070234176095e-10,5.515737547701496e-11,2.3241840734139345e-11,1.1240071635931796e-11,2.606730304079406e-12
sub-003,T3,2.042847002419475e-10,4.737244149878913e-11,2.1189571707224542e-11,1.0319382931745719e-11,2.1176119768145825e-12
sub-003,T4,2.0099355763449737e-10,4.608450969672292e-11,1.920069750684267e-11,1.0288639885324153e-11,2.3865791090130448e-12
sub-003,T5,2.1959849486811547e-10,8.226846738456469e-11,3.773441529613122e-11,1.1896523709489218e-11,2.440481869398923e-12
sub-003,T6,2.164633870081019e-10,9.972978259258966e-11,5.970770622528756e-11,1.2577067025871988e-11,2.1532567887648006e-12
sub-003,Fz,2.055491057061492e-10,4.9261628053185583e-11,2.02421576183669e-11,9.981167079535039e-12,2.057414109446732e-12
sub-003,Cz,1.9951685530041695e-10,3.285395904924456e-11,1.2609693443836674e-11,9.574426321223469e-12,2.033001384330078e-12
sub-003,Pz,1.9990666515162447e-10,4.607536946412062e-11,2.4115673710570703e-11,1.0187799786910602e-11,1.8969192053873832e-12
sub-004,Fp1,6.240965785046791e-10,4.531050909069157e-11,1.1319552827140925e-11,2.962685331048585e-11,2.056081106111818e-11
sub-004,Fp2,3.4174421132395074e-10,3.873135235110947e-11,1.0720502525694184e-11,2.7271122240186943e-11,1.8116707736837387e-11
sub-004,F3,2.6310630807641194e-10,3.3921623814583864e-11,9.597804287253189e-12,2.608995609850725e-11,2.5468940968410538e-11
sub-004,F4,2.580257634001094e-10,3.217560685357329e-11,9.055431932227773e-12,1.5526232584382055e-11,8.467310720148229e-12
sub-004,C3,2.480320217959179e-10,2.979284749355139e-11,7.79718995325648e-12,9.83905553244235e-12,3.86346358727503e-12
sub-004,C4,2.4670476115208485e-10,2.8972232605524682e-11,7.675899280670963e-12,9.675012641750068e-12,3.646329100247442e-12
sub-004,P3,2.580402826170844e-10,2.9733922811638185e-11,8.057085486144166e-12,9.477921008089995e-12,3.1847996793416014e-12
sub-004,P4,2.578120320178978e-10,2.997946776400044e-11,8.044778517834673e-12,1.0414736489318155e-11,4.3720409537990206e-12
sub-004,O1,2.778673534612769e-10,3.124853915766041e-11,8.621251752939522e-12,1.0982451264348185e-11,4.74053261702958e-12
sub-004,O2,2.720830113479882e-10,3.108028698814728e-11,8.347647882615967e-12,1.1175592180864436e-11,5.321719008607203e-12
sub-004,F7,2.897503890319403e-10,4.359827658927708e-11,1.0688627478774487e-11,2.4033651951667822e-11,2.0795074480210507e-11
sub-004,F8,2.647295326433671e-10,3.918831390873048e-11,1.0378098003569723e-11,1.615989889178059e-11,9.180090874754092e-12
sub-004,T3,2.6710214918178613e-10,4.016440792648232e-11,9.321344592691049e-12,1.6369911223464314e-11,9.790224621972406e-12
sub-004,T4,2.562330397460312e-10,3.442563113085739e-11,9.33239466795405e-12,2.058834835932796e-11,1.3335255866660056e-11
sub-004,T5,2.57994508841472e-10,3.133681035628433e-11,8.191577655524509e-12,1.0645773016495508e-11,4.585796679335575e-12
sub-004,T6,2.600714211624938e-10,3.086075963568102e-11,8.257835403404968e-12,1.1252699384397405e-11,5.5971538306516465e-12
sub-004,Fz,2.674094680520675e-10,3.333422784691208e-11,8.670597401664334e-12,1.0640882102950578e-11,3.649892713701415e-12
sub-004,Cz,2.5410211811327983e-10,2.795218194212834e-11,7.883971163012723e-12,9.935650035566889e-12,2.875560845920104e-12
sub-004,Pz,2.539533074602994e-10,2.8414984504515495e-11,7.789140897001103e-12,9.367221173589114e-12,3.350441834893514e-12
