Subject,Channel,Delta,Theta,Alpha,Beta,Gamma
sub-001,7,3.659614834284506e-10,5.391588334146256e-11,1.1679201733502902e-11,1.5672931247991857e-11,7.637401389310778e-12
sub-001,8,4.4563814958572066e-10,5.538836342248327e-11,1.2590717336540152e-11,1.7528626803630107e-11,9.336563683889771e-12
sub-001,3,2.5423506467763276e-10,3.324192589801658e-11,9.052014093741939e-12,1.1300434949853256e-11,4.161431612206341e-12
sub-001,4,2.4800231322132924e-10,3.109524208670433e-11,8.87196543773829e-12,1.1183598104365202e-11,4.299522404554407e-12
sub-001,0,2.401555286073024e-10,2.6416832211387167e-11,7.553886372124401e-12,8.94230663879539e-12,2.2006450914895174e-12
sub-001,1,2.410306996472309e-10,2.6562944574356144e-11,7.612257462758987e-12,9.001075579811452e-12,2.219267846492713e-12
sub-001,12,2.4402637638503217e-10,2.8278251011777078e-11,7.801501672125171e-12,8.819847242839439e-12,2.1509305383315608e-12
sub-001,13,2.4888408767644386e-10,2.969945663594726e-11,8.282631242849678e-12,9.147440522497446e-12,2.155332566257769e-12
sub-001,10,2.5376483871091e-10,3.257759477482706e-11,9.346849102176831e-12,1.1556963273978244e-11,4.297564779414578e-12
sub-001,11,2.5679473212055823e-10,3.291907856789975e-11,9.381218179681232e-12,1.0739332113320051e-11,3.1070154852719487e-12
sub-001,5,2.7951265831320715e-10,3.9094007538629503e-11,9.883358138877192e-12,1.290050226525634e-11,5.292528286113117e-12
sub-001,6,2.788155564097261e-10,3.8815074814244957e-11,1.0418957618776278e-11,1.2839994106060679e-11,4.962525180414909e-12
sub-001,15,2.4693127035412343e-10,3.023195536770627e-11,8.49501391942235e-12,1.078303646883949e-11,3.749744348825055e-12
sub-001,16,2.47820366555911e-10,3.0427690748612564e-11,8.61300635942879e-12,1.1655969888561588e-11,5.3923020266916776e-12
sub-001,17,2.5201203092222903e-10,3.240520119008711e-11,9.952086716117029e-12,1.3556209184401487e-11,6.292564548835283e-12
sub-001,18,2.5227397852861195e-10,3.116321892045779e-11,9.146375261598265e-12,1.0547513481838895e-11,2.9854838026541577e-12
sub-001,9,2.4995577684718543e-10,3.177607461641294e-11,8.680956703847321e-12,9.872136642953671e-12,2.636504755235761e-12
sub-001,2,2.4219948327497013e-10,2.7217338930857775e-11,7.578915341224099e-12,9.218390782019604e-12,2.420498277931883e-12
sub-001,14,2.4937059728784514e-10,3.052508357613435e-11,8.040965566206409e-12,8.704148221868607e-12,2.016799489986742e-12
sub-002,7,3.1632639558120936e-10,4.303635126251252e-11,1.853368100629002e-11,1.601136977676105e-11,5.187891471487134e-12
sub-002,8,2.6985037508790967e-10,4.281803848770477e-11,1.9539749788629e-11,1.8299352429717693e-11,6.9162790112751175e-12
sub-002,3,2.3277951265933176e-10,3.2509185344686104e-11,1.3300553400896932e-11,1.368463697149788e-11,4.064128272996116e-12
sub-002,4,2.2977212233137364e-10,3.57516965496947e-11,1.5610411945172815e-11,1.556190568350429e-11,6.153874821226953e-12
