Subject,Channel,Mean,Variance,Skewness,Kurtosis,Hjorth_Mobility,Hjorth_Complexity
sub-001,Fp1,3.73E-07,1.96E-08,2.355676527,13.09446999,0.057246673,24.50532903
sub-001,Fp2,-6.33E-06,4.64E-08,7.657104569,82.53079685,0.034929495,38.44926716
sub-001,F3,-2.13E-05,5.63E-09,-0.046318679,-0.04234267,0.098151612,14.6525333
sub-001,F4,0.000120577,4.89E-09,0.01106712,0.204976443,0.108485697,13.24058162
sub-001,C3,-2.33E-05,4.15E-09,0.050546573,0.240182131,0.103769156,13.93723089
sub-001,C4,2.12E-05,4.42E-09,0.01407267,0.606300646,0.100515072,14.69853597
sub-001,P3,2.68E-05,4.69E-09,-0.072268632,0.275460925,0.099131035,14.90482557
sub-001,P4,9.53E-05,8.26E-09,0.23739638,0.364810012,0.071687967,20.89982736
sub-001,O1,0.000175417,2.35E-08,0.532368288,0.28584158,0.051687493,28.71484472
sub-001,O2,2.97E-05,9.22E-09,0.485141544,0.175046966,0.067904049,21.63766076
sub-001,F7,-9.98E-06,6.42E-09,0.253969268,0.366426878,0.099859622,14.1538525
sub-001,F8,-1.14E-05,6.35E-09,0.49553142,1.54292324,0.093543382,15.64748243
sub-001,T3,2.44E-05,4.43E-09,-0.108113145,0.341067788,0.122541163,11.95056472
sub-001,T4,8.67E-05,4.39E-09,0.068682087,0.491351744,0.12688683,11.47834621
sub-001,T5,2.65E-05,6.29E-09,-0.453566077,0.652217598,0.099601461,14.24356798
sub-001,T6,2.29E-05,4.79E-09,-0.09281507,0.198748701,0.099645245,14.96631426
sub-001,Fz,-1.44E-05,4.30E-09,-0.086201288,0.298435356,0.098946584,14.7881804
sub-001,Cz,0.000112174,4.23E-09,-0.073165464,0.203780762,0.098584971,15.19990924
sub-001,Pz,-1.92E-05,4.39E-09,0.009456287,0.190693337,0.099926177,15.08251542
sub-002,Fp1,6.35E-05,7.46E-09,-0.30823568,0.370666472,0.100566472,14.10156757
sub-002,Fp2,3.21E-05,5.37E-09,0.051676552,-0.191166954,0.120927408,11.54496385
sub-002,F3,-3.67E-06,4.81E-09,0.054943544,-0.126486407,0.128440751,11.2514689
sub-002,F4,6.03E-05,4.21E-09,-0.070955675,-0.297721679,0.138717798,10.12752002
sub-002,C3,4.64E-06,3.54E-09,0.113918178,-0.091885147,0.134075163,10.72835367
sub-002,C4,-4.02E-06,3.58E-09,0.044761596,-0.158085598,0.132704661,10.78999626
sub-002,P3,0.000117096,7.24E-09,0.141477238,-0.209215634,0.090901272,15.88517141
sub-002,P4,1.56E-05,3.82E-09,0.035870537,-0.246554676,0.125656044,11.35198684
sub-002,O1,7.98E-05,8.32E-09,0.339958299,-0.102361488,0.087844579,16.20194255
sub-002,O2,6.08E-05,1.01E-08,0.739747892,0.646507265,0.077818887,18.16053315
sub-002,F7,-8.00E-05,4.75E-09,0.06390209,-0.102834107,0.15319031,9.229595224
sub-002,F8,3.19E-05,4.00E-09,0.007941244,-0.035827265,0.16316697,8.73951609
sub-002,T3,1.63E-05,4.20E-09,0.016959979,-0.067062178,0.145611031,9.554054767
sub-002,T4,4.50E-05,6.38E-09,0.057095442,1.363510826,0.120375524,11.57901343
sub-002,T5,4.22E-05,4.30E-09,-0.011909773,-0.145567147,0.125252272,11.2699479
sub-002,T6,1.18E-05,3.89E-09,0.041979307,-0.09441349,0.131983611,10.78374572
sub-002,Fz,1.07E-05,3.93E-09,-0.017481523,-0.215156938,0.123503924,11.56517264
sub-002,Cz,3.24E-05,3.90E-09,0.002794791,-0.207199161,0.119517711,11.95940775
sub-002,Pz,4.70E-05,4.04E-09,0.035063897,-0.266690998,0.134853389,10.68399015
sub-003,Fp1,8.11E-05,6.03E-09,-0.316351768,0.122238825,0.104735991,13.0751733
sub-003,Fp2,4.36E-05,8.23E-09,0.434874134,1.950125454,0.088634476,15.3825379
sub-003,F3,-2.68E-05,5.59E-09,-0.409671482,0.314542567,0.106241405,12.67959794
sub-003,F4,-1.33E-05,5.76E-09,-0.494889639,1.105285608,0.103269158,13.2297287
sub-003,C3,1.19E-05,4.49E-09,-0.338584066,0.461428155,0.113693889,11.81197521
sub-003,C4,-1.39E-05,4.56E-09,0.585857194,1.17440171,0.111562123,12.74164424
sub-003,P3,0.000129587,6.04E-09,-0.110325955,0.159600308,0.097281254,13.99277793
sub-003,P4,0.000138867,8.75E-09,-0.660415078,0.344788351,0.079498782,17.74763216
sub-003,O1,8.68E-05,8.53E-09,-0.254205416,-0.2272422,0.083196201,17.18824064
sub-003,O2,9.99E-05,1.20E-08,0.133992571,-0.424178489,0.067245768,20.79043014
sub-003,F7,8.62E-05,8.78E-09,-0.434176432,0.225155871,0.085573033,16.40282221
sub-003,F8,0.000211234,9.23E-09,-0.463782411,0.58099693,0.080597878,16.89033714
sub-003,T3,-5.48E-05,6.49E-09,-0.169564329,0.227222186,0.088230834,14.5930399
sub-003,T4,0.000139177,9.00E-09,-0.036810243,-0.161877381,0.083468472,16.42637698
sub-003,T5,-9.14E-05,6.85E-09,-0.332685532,0.356569719,0.094533727,14.25380389
sub-003,T6,0.000238596,8.37E-09,-0.217552436,-0.165818778,0.08704867,15.78678785
sub-003,Fz,9.03E-05,7.74E-09,-0.21229346,0.001339929,0.092036795,14.78586044
sub-003,Cz,1.99E-05,8.58E-09,0.054736736,0.19855024,0.083945253,16.45530044
sub-003,Pz,1.39E-05,7.89E-09,-0.106011791,0.147820791,0.086729825,15.84275508
sub-004,Fp1,2.95E-05,1.67E-08,3.819669432,57.06714335,0.099018743,13.13355009
sub-004,Fp2,-2.78E-05,9.52E-09,-0.2511321,0.954406706,0.11600122,11.46830133
sub-004,F3,-5.62E-05,4.52E-09,0.001765481,0.059319441,0.226616963,5.841062286
sub-004,F4,-4.31E-05,4.90E-09,0.056242238,0.080031879,0.152619488,9.009097528
sub-004,C3,2.28E-05,4.14E-09,-0.112126873,0.030288423,0.152537212,9.321460069
sub-004,C4,-2.46E-05,3.79E-09,-0.079021792,-0.054277182,0.159569496,8.822886642
sub-004,P3,-1.55E-05,5.88E-09,0.098981637,-0.050232983,0.125518995,11.27518173
sub-004,P4,7.26E-05,8.32E-09,0.099158879,-0.053744007,0.106678339,13.05875635
sub-004,O1,6.25E-05,3.02E-08,1.743708986,4.618435719,0.056624058,25.15043404
sub-004,O2,9.02E-05,2.52E-08,-1.702763927,6.983308042,0.064175417,21.97544098
sub-004,F7,-4.14E-05,5.09E-09,-0.005720171,0.107045355,0.200084061,6.651713485
sub-004,F8,-1.58E-05,4.01E-09,-0.048392972,0.0505038,0.171279622,8.031813986
sub-004,T3,-2.55E-05,5.57E-09,-0.104815398,0.089877865,0.148713338,9.135832037
sub-004,T4,4.67E-06,5.33E-09,0.029837233,-0.033515303,0.1604805,8.448512529
sub-004,T5,9.36E-05,4.14E-09,0.011213407,0.037352353,0.155732238,9.169725501
sub-004,T6,9.53E-05,6.51E-09,0.360277771,0.58902105,0.121269527,11.41622762
sub-004,Fz,6.55E-05,4.94E-09,-0.103540096,-0.012994441,0.139890631,10.06436556
sub-004,Cz,-3.35E-06,7.67E-09,-1.124536657,4.155553829,0.109265497,13.08164967
sub-004,Pz,7.97E-05,4.22E-09,-0.090903288,-0.0460299,0.151595546,9.344647329
sub-005,Fp1,-0.000138789,3.62E-08,4.589760956,37.97589744,0.272751775,4.382737516
sub-005,Fp2,-0.0002254,1.46E-08,0.285204485,2.285508797,0.428773789,2.784340789
sub-005,F3,0.000358798,9.53E-08,0.878665501,0.225339157,0.167600526,7.13746862
sub-005,F4,0.000213951,1.82E-07,0.464311317,4.156584028,0.121247401,9.847086492
sub-005,C3,-3.09E-05,7.87E-09,0.030046216,0.554887471,0.58029846,2.05681828
sub-005,C4,1.21E-05,8.93E-09,-0.527523645,2.383698777,0.544550892,2.190002141
sub-005,P3,-4.70E-05,1.53E-08,-0.162234035,1.346407602,0.417683733,2.85251607
sub-005,P4,-2.35E-05,1.19E-08,-0.374448178,1.667658226,0.471081493,2.531779617
sub-005,O1,-4.31E-05,1.37E-08,-0.242755845,1.94310807,0.439868186,2.713400172
sub-005,O2,-0.000116508,1.75E-08,-0.22658174,0.97663054,0.390404884,3.058015396
sub-005,F7,-9.80E-05,1.48E-08,0.389985282,4.149395662,0.431015898,2.78736269
sub-005,F8,-4.95E-05,1.85E-08,0.397980628,2.798195594,0.38111199,3.133846959
sub-005,T3,-4.90E-05,1.08E-08,-0.491404905,2.254439663,0.502661187,2.374153803
sub-005,T4,-8.40E-05,1.16E-08,-0.27657871,1.065147936,0.479709351,2.485967735
sub-005,T5,-5.82E-05,1.78E-08,0.55347221,3.652710735,0.38620277,3.091933079
sub-005,T6,-3.95E-05,1.32E-08,-0.105692848,0.926307474,0.448702456,2.658778948
sub-005,Fz,-0.000201505,9.98E-09,0.360956442,0.771137203,0.515249893,2.315557005
sub-005,Cz,-7.78E-05,1.42E-08,-0.049345096,1.035221813,0.431628384,2.763826203
sub-005,Pz,-6.48E-05,1.31E-08,-0.024646316,1.285789729,0.450512277,2.649019457
sub-006,Fp1,1.40E-05,7.28E-09,0.253489738,0.031330133,0.122149965,8.757540648
sub-006,Fp2,0.000116007,6.88E-09,0.342054821,0.301905162,0.107473883,9.106013609
sub-006,F3,3.46E-05,4.96E-09,0.084831718,-0.096900021,0.15604927,7.24328171
sub-006,F4,9.61E-05,4.71E-09,0.102806124,-0.026740324,0.127439265,7.791937976
sub-006,C3,-2.51E-05,4.52E-09,-0.060066182,-0.154522184,0.121735345,7.723993424
sub-006,C4,2.11E-05,4.44E-09,0.055820839,-0.021239105,0.122318059,7.608755657
sub-006,P3,8.45E-05,7.39E-09,0.638481713,1.188959363,0.095258656,9.54308812
sub-006,P4,0.000106747,4.93E-09,0.013388511,0.012263403,0.119281327,7.934963321
sub-006,O1,0.000115592,7.10E-09,-0.058745165,0.313397318,0.103049597,9.411557944
sub-006,O2,7.28E-05,1.04E-08,1.191430052,3.649436348,0.086150038,11.5789531
sub-006,F7,6.23E-05,6.36E-09,0.065405717,-0.011996239,0.178642445,7.00944257
sub-006,F8,6.17E-05,6.17E-09,0.120827319,-0.121486785,0.128705401,8.44405567
sub-006,T3,3.34E-05,8.22E-09,0.35943279,-0.059476577,0.116786086,9.541348555
sub-006,T4,7.27E-05,4.64E-09,0.01955721,-0.058560996,0.137869018,7.221476688
sub-006,T5,8.68E-05,6.56E-09,0.197469304,0.343721881,0.109165897,9.195210974
sub-006,T6,8.55E-05,6.55E-09,-0.144777313,0.061617709,0.110149942,9.232967105
sub-006,Fz,4.48E-05,5.30E-09,0.038865771,0.050963305,0.111273977,8.244613987
sub-006,Cz,6.04E-05,4.68E-09,0.083310732,0.126339429,0.116752463,7.786565061
sub-006,Pz,-1.55E-05,5.31E-09,0.000354438,0.063781356,0.111842346,8.196221816
sub-007,Fp1,-6.03E-05,7.61E-09,-0.273373267,1.532000029,0.100566341,14.63206708
sub-007,Fp2,-0.000127001,7.50E-09,0.82951909,5.063938622,0.095155169,15.19510555
sub-007,F3,-3.72E-05,5.55E-09,-0.002176684,0.049988777,0.118293618,12.17089513
sub-007,F4,-6.75E-06,5.60E-09,-0.217095101,0.518633195,0.109118003,13.61537823
sub-007,C3,2.35E-06,4.91E-09,-0.162841186,0.22209523,0.105510291,14.15803208
sub-007,C4,-3.65E-06,4.61E-09,0.276200788,0.203062794,0.113836118,13.32211012
sub-007,P3,2.18E-05,8.46E-09,-0.261258933,-0.0423587,0.080539554,18.64401145
sub-007,P4,-4.31E-05,5.81E-09,0.459424214,0.487910748,0.101621731,14.40432993
sub-007,O1,5.67E-05,5.28E-09,0.08839877,0.267369716,0.107658214,13.97152785
sub-007,O2,4.65E-05,9.33E-09,0.763306842,0.558765922,0.079185313,18.55122087
sub-007,F7,-0.000141832,5.85E-09,0.228669546,0.427978273,0.137739326,10.9328708
